Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Office Supplies and Furniture,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,26 January 2021,"$6,255.33"
Performance Measure 5 Year Poverty Reduction,Service Contract,Extension,Nunavut Territory,Family Services,Stiles Associates Inc.,28 September 2014,"$6,300.00"
"Design, Layout and Printing of Reports",Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Atiigo Media Inc.,02 February 2017,"$6,326.40"
Relocation,Service Contract,Public Request for Proposals,Iqaluit,Family Services,J&N Moving Services Ltd,16 February 2018,"$6,352.00"
Toner,Purchase Order,Invitational Tender,Iqaluit,Family Services,Qikiqtaaluk Information Technologies Corp.,06 March 2014,"$6,364.52"
Custon Promotional Items,Purchase Order,Invitational Tender,Iqaluit,Family Services,4imprint Canada,08 May 2017,"$6,372.97"
Warming Cabinet,Purchase Order,Sole Source,Igloolik,Family Services,Imperial Surgical Limited,01 October 2018,"$6,380.00"
Ink Cartridges,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,12 January 2017,"$6,412.35"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Maryhomes Inc.,01 March 2015,"$6,424.00"
Air Purifiers & Particle Filters,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,11 January 2021,"$6,470.76"
Child Abuse Investigation Workshops,Consulting,Sole Source,Iqaluit,Family Services,Aglukark Entertainment Inc.,28 April 2019,"$6,475.31"
Infant Supplies,Purchase Order,Sole Source,Kimmirut,Family Services,Ikpiaryuk Services Ltd.,19 April 2018,"$6,499.22"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,26 June 2014,"$6,506.24"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,10 February 2021,"$6,523.17"
Office Supplies,Purchase Order,Public Request for Proposals,Kinngait,Family Services,Northern Networks Ltd.,23 June 2016,"$6,531.19"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,18 June 2015,"$6,539.03"
Relocation,Service Contract,Public Request for Proposals,Arviat,Family Services,Atlas Van Lines (Canada) Ltd.,16 May 2017,"$6,544.00"
Residential Care,Consulting,Public Request for Proposals,Resolute Bay,Family Services,"Stirpe, Stones & Associates",04 November 2015,"$6,632.98"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,"Stirpe, Stones & Associates",16 January 2016,"$6,638.75"
HP LaserJet,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,28 April 2016,"$6,676.80"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,05 June 2017,"$6,685.93"
Catering Services,Purchase Order,Invitational Tender,Rankin Inlet,Family Services,Wild Wolf Hotel & Restaurant Ltd.,08 May 2014,"$6,708.01"
Office Supplies,Purchase Order,Public Request for Proposals,Resolute Bay,Family Services,Northern Networks Ltd.,05 April 2018,"$6,730.95"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,"Stirpe, Stones & Associates",10 February 2016,"$6,744.30"
Translation Services,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Innirvik Support Services (2003) Ltd.,17 January 2018,"$6,750.00"
"Keychain, Totes & USB's w/ GN Logo",Purchase Order,Invitational Tender,Pangnirtung,Family Services,China Maple Leaf Industrial,21 December 2017,"$6,768.00"
Residential Care Facility Review,Consulting,Sole Source,Iqaluit,Family Services,Carla Devet,01 April 2014,"$6,800.00"
Relocation,Service Contract,Public Request for Proposals,Igloolik,Family Services,Mayflower Canada,04 November 2015,"$6,806.46"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Five Fourteen Inc.,14 January 2019,"$6,844.17"
Office Supplies,Purchase Order,Public Request for Proposals,Resolute Bay,Family Services,Northern Networks Ltd.,02 April 2019,"$6,896.94"
Office Supplies,Purchase Order,Public Request for Proposals,Kinngait,Family Services,Northern Networks Ltd.,19 June 2014,"$6,909.60"
HP Digital Sender,Purchase Order,Invitational Tender,Iqaluit,Family Services,8291292 Canada Ltd. o/a Arctic Ventures,01 November 2016,"$6,920.00"
Relocation,Service Contract,Public Request for Proposals,Iqaluit,Family Services,J&N Moving Services Ltd,03 April 2017,"$6,924.00"
Office Supplies,Purchase Order,Public Request for Proposals,Kinngait,Family Services,Northern Networks Ltd.,29 May 2013,"$6,934.40"
Security System Installation,Service Contract,Public Request for Proposals,Iqaluit,Family Services,K.R.T. Electrical Ltd.,07 June 2017,"$6,952.00"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,18 June 2015,"$7,056.72"
Rental of Conference Room,Purchase Order,Sole Source,Rankin Inlet,Family Services,Katimavik Suites,08 September 2016,"$7,125.00"
Reprint of Documents,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Inhabit Education Inc.,12 February 2019,"$7,125.00"
Income Support Cheques,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,23 February 2021,"$7,130.00"
Corcan Furniture,Purchase Order,Sole Source,Iqaluit,Family Services,CORCAN,26 June 2017,"$7,136.00"
Relocation,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Atlas Van Lines (Canada) Ltd.,12 June 2017,"$7,189.00"
Relocation,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Atlas Van Lines (Canada) Ltd.,04 December 2017,"$7,193.00"
Residential Care,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,28 April 2014,"$7,200.00"
Modification to ISACS System,Service Contract,Public Request for Proposals,Iqaluit,Family Services,CoreSolutions Software Inc.,24 February 2016,"$7,207.50"
Capacity Assessments,Consulting,Sole Source,Ottawa,Family Services,Dr. Emoke Jozsvai,01 November 2019,"$7,245.90"
Xerox Photocopier,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Xerox Canada Ltd. o/a Akhaliak,29 June 2015,"$7,290.00"
Xerox WorkCentre,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Xerox Canada Ltd. o/a Akhaliak,29 June 2015,"$7,290.00"
Lease Renew on Xerox Workcentre,Service Contract,Public Request for Proposals,Kinngait,Family Services,Akhaliak Office Products o/a Xerox Canada,21 October 2016,"$7,290.00"
Relocation,Service Contract,Public Request for Proposals,Taloyoak,Family Services,Atlas Van Lines,10 April 2015,"$7,357.71"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Country Haven Acres,01 August 2013,"$7,392.00"
Xerox Copier,Service Contract,Public Request for Proposals,Qikiqtarjuaq,Family Services,Tootoo Consulting Corporation o/a Xerox,20 December 2016,"$7,482.00"
Xerox Toner Cartridges,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,02 August 2018,"$7,495.42"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Sinclair Children's Residence Inc.,01 April 2014,"$7,500.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,08 March 2021,"$7,550.35"
Printer & Ink Cartridges,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,05 April 2018,"$7,578.25"
Relocation,Service Contract,Sole Source,Igloolik,Family Services,Mayflower Canada,14 September 2017,"$7,580.00"
Project Management Services,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Inhabit Media Inc.,26 April 2016,"$7,600.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,01 May 2020,"$7,642.16"
Relocation,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Atlas Van Lines,18 December 2015,"$7,762.46"
Scanner,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,08 May 2020,"$7,798.45"
Office Supplies and Furniture,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,25 January 2021,"$7,807.34"
Promotional Items,Purchase Order,Invitational Tender,Arviat,Family Services,Akran Marketing,31 August 2016,"$7,810.62"
Social Assistance Cheques,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,10 July 2015,"$7,825.00"
Ink Cartridges,Purchase Order,Public Tender,Iqaluit,Family Services,Nuna Depot Inc.,05 September 2019,"$7,892.00"
Office Supplies,Purchase Order,Public Request for Proposals,Sanirajak,Family Services,Northern Networks Ltd.,07 March 2021,"$7,935.80"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Terrace Youth Residential Services Inc.,01 July 2013,"$8,000.00"
Income Assistance Seminars,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Work with Solutions,01 August 2016,"$8,000.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Sinclair Children's Residence Inc.,01 April 2018,"$8,000.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,27 May 2013,"$8,043.37"
Supervisor and Staff Workshop,Consulting,Sole Source,Nunavut Territory,Family Services,Andrew Koster,27 September 2018,"$8,144.20"
Office Supplies & Furniture,Purchase Order,Public Request for Proposals,Whale Cove,Family Services,Northern Networks Ltd.,16 February 2021,"$8,161.58"
Support and Maintenance for Software,Service Contract,Sole Source,Iqaluit,Family Services,CoreSolutions Software,01 April 2016,"$8,184.00"
Translations,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Aglu Consulting and Training Inc.,18 February 2015,"$8,200.00"
Office Supplies,Purchase Order,Public Request for Proposals,Baker Lake,Family Services,Northern Networks Ltd.,02 February 2021,"$8,219.58"
Office Supplies,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,29 October 2020,"$8,280.75"
Printers,Service Contract,Public Tender,Kugluktuk,Family Services,Xerox Canada Ltd. o/a Arctic Office Solutions,09 September 2020,"$8,292.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,29 March 2018,"$8,375.35"
ISDS Training,Consulting,Invited Request for Proposals,Nunavut Territory,Family Services,Rogue Data Corporation,06 February 2018,"$8,400.00"
Family Wellness Training Programs,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Nvision Insight Group Inc.,01 March 2021,"$8,459.96"
Infrastructure and Program Needs Addressing,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,The Consulting Matrix Inc.,13 April 2018,"$8,500.00"
Xerox Workcentre,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Akhaliak Office Products o/a Xerox Canada,22 August 2016,"$8,510.00"
Xerox Workcentre,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Akhaliak Office Products o/a Xerox Canada,22 August 2016,"$8,510.00"
CATERING FOR ROUNDTABLE,Service Contract,Sole Source,Nunavut Territory,Family Services,KUUGAQ CAFE,18 November 2019,"$8,583.75"
Nunavut Round Table Catering Services,Service Contract,Sole Source,Cambridge Bay,Family Services,Kuugaq Cafe,18 November 2019,"$8,583.75"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,13 March 2019,"$8,595.64"
Effectively Managing and Coaching Employees,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,22 January 2017,"$8,624.20"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,14 April 2016,"$8,694.64"
Power Protection and Monitoring,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Anixter Canada Inc.,27 January 2015,"$8,731.83"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,07 March 2021,"$8,834.98"
Social Assistance Cheques,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,20 July 2013,"$8,850.00"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,07 March 2021,"$8,908.14"
Catalyst & Power Cord,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Compucom Canada Co.,19 July 2017,"$8,940.88"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,08 May 2020,"$8,948.06"
Supply & Installation of Electrical Material,Service Contract,Public Request for Proposals,Iqaluit,Family Services,KRT Electrical Ltd.,02 October 2018,"$8,970.00"
Nunavut Food Security Coalition,Consulting,Sole Source,Nunavut Territory,Family Services,AJ Phillips & Associates,12 September 2016,"$9,000.00"
Development of ISDS Training Videos,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Rogue Data Corporation,15 February 2017,"$9,000.00"
Capacity Assessment,Consulting,Sole Source,Nunavut Territory,Family Services,Dr. Emoke Jozsvai,29 October 2018,"$9,108.74"
Relocation,Service Contract,Sole Source,Igloolik,Family Services,Mayflower Canada,09 May 2017,"$9,123.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,26 March 2021,"$9,139.98"
Xerox Workcentre & Cartridges,Purchase Order,Invitational Tender,Iqaluit,Family Services,Nuna Link Ltd.,23 January 2019,"$9,185.00"
Office Supplies,Purchase Order,Public Request for Proposals,Igloolik,Family Services,Northern Networks Ltd.,24 March 2019,"$9,215.33"
Office Supplies,Purchase Order,Public Request for Proposals,Sanirajak,Family Services,Northern Networks Ltd.,25 March 2020,"$9,236.56"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,04 August 2020,"$9,359.68"
Residential Care,Service Contract,Public Request for Proposals,Sanirajak,Family Services,Sinclair Children's Residence,05 November 2013,"$9,380.00"
Relocation,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Atlas Van Lines (Canada) Ltd.,15 February 2018,"$9,457.00"
HP LaserJet Printer and Cartridges,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,09 April 2017,"$9,465.00"
iPad & Case,Purchase Order,Invitational Tender,Iqaluit,Family Services,Nuna Link Ltd.,09 August 2018,"$9,540.00"
Office Supplies,Purchase Order,Public Request for Proposals,Arctic Bay,Family Services,Northern Networks Ltd.,22 April 2018,"$9,541.55"
Apprenticeship Code Books,Service Contract,Sole Source,Nunavut Territory,Family Services,Power Engineering Books Ltd.,20 September 2019,"$9,623.00"
Ink Cartridges,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,26 May 2018,"$9,637.38"
Fujitsu Scan Snap,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,16 May 2018,"$9,689.85"
Booklets,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Atiigo Media Inc.,27 February 2019,"$9,802.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Maryhomes Inc.,17 September 2014,"$9,920.00"
Forensic Audit,Consulting,Sole Source,Nunavut Territory,Family Services,Grant Thornton LLP,15 May 2017,"$10,000.00"
Effectively Managing and Coaching Employees,Consulting,Public Request for Proposals,Iqaluit,Family Services,Performance Management Consultants,01 June 2017,"$10,000.00"
Child Welfare Service,Consulting,Sole Source,Nunavut Territory,Family Services,Practice and Research Together,01 April 2018,"$10,000.00"
"Masks, Gloves & Sanitizer",Purchase Order,Invitational Tender,Nunavut Territory,Family Services,Curley Construction Corporation,24 April 2020,"$10,081.24"
Mitel Phone System,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Allstream Business Inc.,04 October 2017,"$10,200.27"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,19 June 2016,"$10,223.35"
Printing Documents,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Atiigo Media Inc.,16 December 2016,"$10,230.00"
Translations,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,05 July 2016,"$10,420.20"
"Design, Layout and Printing of Documents",Purchase Order,Public Request for Proposals,Igloolik,Family Services,Atiigo Media Inc.,09 March 2016,"$10,432.00"
Practice and Research Together Course,Consulting,Sole Source,Nunavut Territory,Family Services,Practice and Research Together,01 April 2016,"$10,500.00"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Options Youth (Ontario) Inc.,01 December 2016,"$10,500.00"
Child Support Services,Consulting,Sole Source,Nunavut Territory,Family Services,Practice and Research Together,01 April 2017,"$10,500.00"
Neopost Inserter/Folder,Purchase Order,Sole Source,Iqaluit,Family Services,Milne Office Systems,31 July 2017,"$10,736.00"
Seacan Rental and Land Lease,Purchase Order,Sole Source,Iqaluit,Family Services,R.L. Hanson Construction Ltd.,10 September 2020,"$10,800.00"
Office Supplies,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,06 July 2020,"$10,837.67"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2020,"$10,944.75"
Ink Toners,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,15 June 2016,"$11,002.50"
Office Supplies,Purchase Order,Public Request for Proposals,Cambridge Bay,Family Services,Northern Networks Ltd.,03 March 2020,"$11,251.90"
"Design, Layout and Printing of Reports",Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Atiigo Media Inc.,22 February 2017,"$11,256.60"
Office Supplies,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Northern Networks Ltd.,17 April 2017,"$11,285.91"
Computer Hardware,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,14 January 2021,"$11,287.44"
Supply and Install Televisions,Purchase Order,Invitational Tender,Iqaluit,Family Services,NCC Development Limited,07 April 2015,"$11,365.00"
Call for Members Ad,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Ayaya Communications Inc.,28 January 2018,"$11,415.89"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,09 January 2015,"$11,437.42"
Relocation,Service Contract,Public Request for Proposals,Iqaluit,Family Services,J&N Moving Services Ltd,28 July 2017,"$11,460.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,06 April 2018,"$11,505.02"
Effectively Managing and Coaching Employees,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Performance Management Consultants,15 November 2016,"$11,607.00"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Wood's Homes,21 November 2013,"$11,840.00"
Relocation,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Atlas Van Lines Canada,21 January 2015,"$11,945.25"
"Printing Services, Manuals",Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Outcrop Nunavut,01 August 2020,"$12,004.00"
Face Masks,Purchase Order,Sole Source,Nunavut Territory,Family Services,Distribution Artefact Inc.,08 September 2020,"$12,025.00"
Office Furniture,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Northern Networks Ltd.,08 October 2015,"$12,028.93"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,21 March 2018,"$12,046.69"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,13 August 2014,"$12,065.00"
Mental Health Supports for Inquest,Consulting,Sole Source,Nunavut Territory,Family Services,Inuusiliriji Counselling & Consulting,24 April 2018,"$12,080.00"
Newspaper Advertisement,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,02 September 2015,"$12,263.52"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Maryhomes Inc.,19 February 2014,"$12,306.00"
Capacity Assessments,Consulting,Sole Source,Ottawa,Family Services,Dr. Emoke Jozsvai,01 October 2019,"$12,330.40"
Translation Services,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Aglu Consulting and Training Inc.,31 January 2017,"$12,368.69"
Office Supplies and Furniture,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,08 February 2021,"$12,399.30"
Ad Placement,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Ayaya Communications Inc.,08 August 2013,"$12,678.40"
Specialized Residential Care,Service Contract,Extension,Kugluktuk,Family Services,Deh Cho Health and Social Services,01 April 2013,"$12,744.00"
Daycare Services,Service Contract,Sole Source,Iqaluit,Family Services,Aakuluk Daycare,01 April 2015,"$12,744.00"
Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Lakeview Community Living Incorporated,01 March 2019,"$12,777.02"
Residential Care,Consulting,Sole Source,Kinngait,Family Services,I Have a Chance Support Services Ltd.,13 March 2016,"$12,778.63"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Options Youth (Ontario) Inc.,01 April 2017,"$12,936.00"
Inside Cabling Services,Service Contract,Public Tender,Arctic Bay,Family Services,K.R.T. Electrical Ltd.,06 June 2019,"$12,990.00"
Office Supplies,Purchase Order,Public Request for Proposals,Pangnirtung,Family Services,Northern Networks Ltd.,18 April 2017,"$13,104.38"
Cisco Catalyst,Purchase Order,Public Request for Proposals,Iqaluit,Family Services,Compucom Canada Co.,07 June 2017,"$13,148.98"
Specialized Residential Care and Treatment,Service Contract,Public Request for Proposals,Arctic Bay,Family Services,Stepping Stones Foster Care Inc.,15 January 2014,"$13,425.00"
Women's Shelter (Old Group Home) Renovations,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Accutech Engineering Inc.,05 November 2020,"$13,505.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2014,"$13,629.00"
Installation of Cubicles,Purchase Order,Sole Source,Iqaluit,Family Services,Corcan,12 July 2016,"$13,673.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bridgeway Family Homes,09 February 2019,"$13,825.50"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Options Youth (Ontario) Inc.,01 April 2019,"$13,839.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Options Youth Ontario Inc.,01 April 2020,"$13,839.00"
Printer & Cartridges,Purchase Order,Public Request for Proposals,Rankin Inlet,Family Services,Northern Networks Ltd.,17 December 2018,"$13,894.58"
"Minister Travel, Group Home Visit",Service Contract,Sole Source,Kivalliq Region,Family Services,Calm Air International LP,18 March 2021,"$13,942.53"
Review Child Abuse Response Protocols,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Michael Rudolph Consulting,17 January 2019,"$14,000.00"
Interpretation Services,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Innirvik Support Services Ltd.,10 June 2013,"$14,012.25"
iPads and Scanners,Purchase Order,Invitational Tender,Iqaluit,Family Services,Qikiqtani Retail Services Ltd.,04 March 2019,"$14,089.80"
Capacity Assessments,Consulting,Public Request for Proposals,Iqaluit,Family Services,"Stirpe, Stones and Associates",16 April 2014,"$14,111.00"
Directors and Managers Workshop,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,NVision Insight Group Inc.,12 December 2018,"$14,139.72"
Residential Care,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,"Stirpe, Stones and Associates",29 January 2017,"$14,264.93"
Relocation,Service Contract,Public Request for Proposals,Iqaluit,Family Services,J&N Moving Services Ltd.,07 June 2017,"$14,341.00"
